ingredients,Refuse (%),Water (g),Energy (Kcal),Protein (g),Fat (g),Ash (g),Fiber (g),Carboyhdrates (g),Sodium (mg),Potassium (mg),Calcium (mg),Phosphorus (mg),Magnesium (mg),Iron (mg),Zinc (mg),Copper (mg),Vitamin A ugRE,Vitamin C (mg),Thiamin (mg),Riboflavin (mg),category
 Pie  Rucak with meat,0,51.4,279.0,8.5,18.6,1.1,1.0,19.4,422,102,72.0,75,0.0,1.2,0.64,0.0,0,0,0.0,0.0,bekery
Pizza  cheese topping,0,48.5,243.0,12.0,9.9,2.1,1.0,26.5,583,124,231.0,0,0.0,1.2,1.6,0.1,0,0,0.0,0.0,bekery
Pizza  meat/sausage topping,0,41.5,267.0,13.4,9.3,2.4,1.0,32.4,598,157,160.0,0,0.0,1.5,1.1,0.12,0,0,0.0,0.0,bekery
Pizza  seafood topping,0,44.0,252.0,10.0,8.0,2.1,0.8,35.1,498,130,201.0,0,0.0,1.15,0.99,0.19,0,0,0.0,0.0,bekery
Pizza  vegetarian,0,47.8,230.0,5.9,7.1,2.6,1.0,35.6,476,192,154.0,0,0.0,1.15,0.95,0.8,0,0,0.0,0.0,bekery
Sandwiches  fried brain,0,55.0,232.0,10.1,11.5,1.2,0.3,21.9,403,286,63.0,0,21.0,2.16,0.87,0.21,0,0,0.0,0.0,bekery
Sandwiches  fried chicken,0,45.0,259.0,9.6,10.0,1.7,1.0,32.7,590,280,20.0,0,29.0,1.93,1.0,0.2,0,0,0.0,0.0,bekery
Sandwiches  fried liver ,0,46.7,238.0,14.4,6.8,1.8,0.6,29.7,599,270,53.0,0,50.0,5.6,2.3,1.87,0,0,0.0,0.0,bekery
Sandwiches  fried shrimp,0,47.5,252.0,10.2,10.5,2.0,0.7,29.1,525,285,54.0,0,27.0,2.82,1.1,0.19,0,0,0.0,0.0,bekery
Sandwiches  grilled chicken,0,51.5,223.0,11.4,8.0,1.8,0.9,26.4,522,316,28.0,0,34.0,1.83,1.4,0.15,0,0,0.0,0.0,bekery
 Sandwiches  grilled Kofta,0,50.9,224.0,12.0,7.5,1.8,0.6,27.2,491,226,23.0,0,30.0,2.86,1.03,0.18,0,0,0.0,0.0,bekery
Sandwiches  hamburger,0,52.8,16.0,8.8,7.5,1.7,0.8,28.4,689,307,38.0,0,24.0,2.0,1.63,0.11,0,0,0.0,0.0,bekery
Sandwiches  hotdog,0,50.2,221.0,8.8,6.5,2.1,0.5,31.9,615,250,20.0,0,31.0,1.58,1.0,0.21,0,0,0.0,0.0,bekery
 Sandwiches  shawerma meat,0,51.1,220.0,10.7,7.0,1.9,0.7,28.6,698,273,46.0,0,32.0,2.9,1.91,0.33,0,0,0.0,0.0,bekery
Beans  broad (Nabet) cooked,70,114.0,8.8,0.6,1.2,1.0,18.4,330.0,218,37,166.0,0,2.4,1.0,0.0,0.0,0,0,0.0,0.0,legumes
Beans  kidney white cooked,66,134.0,8.9,2.4,1.5,1.9,19.3,324.0,504,57,139.0,0,2.5,1.13,0.0,0.0,0,0,0.0,0.0,legumes
 Beans   kidney white / meat,0,65.6,152.0,11.4,5.6,1.4,2.0,14.0,371,566,59.0,167,0.0,2.96,1.41,0.0,0,0,0.0,0.0,legumes
Cowpeas   cooked,0,68.0,131.0,8.5,3.5,1.6,2.0,16.4,343,579,37.0,96,34.0,2.2,1.07,0.0,0,0,0.0,0.0,legumes
Cowpeas   cooked with meat,0,66.0,146.0,11.0,5.5,2.0,2.5,13.0,317,456,36.0,142,0.0,3.5,1.54,0.0,0,0,0.0,0.0,legumes
Lentils   peeled / rice cooked,0,68.9,140.0,6.2,5.2,1.4,1.2,17.1,312,384,12.0,57,0.0,1.1,0.8,0.0,0,0,0.0,0.0,legumes
Lentils   peeled soup,0,82.5,68.0,4.8,1.5,1.7,0.7,8.8,318,245,26.0,76,0.0,1.5,0.6,0.0,0,0,0.0,0.0,legumes
